OBJECTID,DFGWATERID,MEAS,Distance,INPUTOID,UID,Unit,Location,lat,long
1,27716759,198.4543263,-14.47083236,1,0,CSP_006,start,34.44473,-119.65034
2,27716759,360.8100286,80.80135999,2,1,CSP_006,end,34.44575,-119.65182
3,27716759,362.9936423,84.84226858,3,2,CSP_007,start,34.44575,-119.65187
4,27716759,381.964998,25.88349404,4,3,CSP_007,end,34.44617,-119.65141
5,27716759,381.964998,25.88349404,5,4,CSP_008,start,34.44617,-119.65141
6,27716759,1129.0221,4.201630548,6,5,CSP_008,end,34.45227,-119.65379
7,27716759,1953.5235,25.42310737,7,6,CSP_012,start,34.45891,-119.65432
8,27716759,2097.48104,30.79234683,8,7,CSP_012,end,34.46005,-119.65504
9,27716759,2097.48104,30.79234683,9,8,CSP_013,start,34.46005,-119.65504
10,27716759,2132.265942,21.1763326,10,9,CSP_013,end,34.46037,-119.65511
11,27716759,2132.265942,21.1763326,11,10,CSP_014,start,34.46037,-119.65511
12,27716759,2330.89334,6.41225311,12,11,CSP_014,end,34.46217,-119.6552
13,27716759,2330.89334,6.41225311,13,12,CSP_015,start,34.46217,-119.6552
14,27716759,2946.516963,6.281642313,14,13,CSP_015,end,34.46662,-119.6585
