OBJECTID,DFGWATERID,MEAS,Distance,INPUTOID,UID,Unit,Location,lat,long
1,27716759,41.33882868,-1.906600998,1,0,HSP_001,start,34.44332,-119.65053
2,27716757,169.5176256,27.17381987,2,1,HSP_001,end,34.44436,-119.64967
3,27716757,169.5176256,27.17381987,3,2,HSP_002,start,34.44436,-119.64967
4,27716757,256.7846197,10.32277296,4,3,HSP_002,end,34.44499,-119.64916
5,27716757,256.7846197,10.32277296,5,4,HSP_003,start,34.44499,-119.64916
6,27716757,835.7792,38.75561324,6,5,HSP_003,end,34.44923,-119.64618
7,27716757,882.2184694,22.93811202,7,6,HSP_007,start,34.44957,-119.64585
8,27716757,1048.841841,20.50913224,8,7,HSP_007,end,34.45083,-119.64487
9,27716757,1048.841841,20.50913224,9,8,HSP_008,start,34.45083,-119.64487
10,27716757,1075.4243,15.06325514,10,9,HSP_008,end,34.45103,-119.64462
11,27716757,1234.611762,11.31009481,11,10,HSP_011,start,34.45182,-119.64321
12,27716757,2278.27315,-29.88298254,12,11,HSP_011,end,34.45947,-119.63869
