OBJECTID,DFGWATERID,MEAS,Distance,INPUTOID,UID,Unit,Location,lat,long
1,27716787,60.91785011,0.066277344,1,0,MON_001,start,34.41723,-119.63422
2,27716787,1082.900257,29.24850813,2,1,MON_001,end,34.42484,-119.63677
3,27716787,2609.674032,9.161039626,3,2,MON_005,start,34.43558,-119.64414
4,27716787,2663.225478,-26.76795203,4,3,MON_005,end,34.43616,-119.64417
5,27716787,3424.4945,51.52072197,5,4,MON_007,start,34.44106,-119.64951
6,27716787,3491.07177,-7.130451286,6,5,MON_007,end,34.44185,-119.64951
7,27716787,3491.07177,-7.130451286,7,6,MON_008,start,34.44185,-119.64951
8,27716759,3642.695177,17.22155948,8,7,MON_008,end,34.44295,-119.65059
9,27716759,9.853562551,16.20867999,9,8,MON_010,start,34.44299,-119.6506
10,27716759,40.5002504,6.612889725,10,9,MON_010,end,34.4433,-119.65062
