UID,unit,location,lat,long
0,RNC_005,start,34.39351,-119.45858
1,RNC_005,end,34.40184,-119.44743
2,RNC_007,start,34.40184,-119.44743
3,RNC_007,end,34.40395,-119.44653
4,RNC_009,start,34.40396,-119.44658
5,RNC_009,end,34.40453,-119.4457
6,RNC_011,start,34.40458,-119.44572
7,RNC_011,end,34.40472,-119.44582
8,RNC_013,start,34.40475,-119.44584
9,RNC_013,end,34.40596,-119.4454
10,RNC_015,start,34.40601,-119.4454
11,RNC_015,end,34.4115,-119.44849
12,RNC_016,start,34.4115,-119.44849
13,RNC_016,end,34.41161,-119.44861
14,RNC_017,start,34.41161,-119.44861
15,RNC_017,end,34.41216,-119.44956
16,RNC_018,start,34.41216,-119.44956
17,RNC_018,end,34.41264,-119.44944
