UID,unit,location,lat,long
0,ayp_001,start,34.4164,-119.55768
1,ayp_001,end,34.4166,-119.54546
2,ayp_014,start,34.41713,-119.54418
3,ayp_014,end,34.42013,-119.54092
4,ayp_016,start,34.42022,-119.54087
5,ayp_016,end,34.4216,-119.54028
6,ayp_020,start,34.42175,-119.54016
7,ayp_020,end,34.42808,-119.54126
8,ayp_022,start,34.42804,-119.5413
9,ayp_022,end,34.42893,-119.5432
10,ayp_024,start,34.42894,-119.54328
11,ayp_024,end,34.42943,-119.54417
12,ayp_028,start,34.42947,-119.54448
13,ayp_028,end,34.4305,-119.54875
14,ayp_030,start,34.43039,-119.54883
15,ayp_030,end,34.43161,-119.55046
16,ayp_035,start,34.43334,-119.55012
17,ayp_035,end,34.43402,-119.54975
18,ayp_036,start,34.43402,-119.54975
19,ayp_036,end,34.43464,-119.54952
20,ayp_037,start,34.43464,-119.54952
21,ayp_037,end,34.43529,-119.54934
