OBJECTID,DFGWATERID,MEAS,Distance,INPUTOID,UID,unit,location,lat,long
1,27713179,1132.296258,-7.333013455,2,0,ayp_001,start,34.4164,-119.55768
2,27713179,1272.42336,-7.914228485,3,1,ayp_001,end,34.4166,-119.54546
3,27713179,1726.098801,-78.83209088,4,2,ayp_014,start,34.41713,-119.54418
4,27713179,1731.7502,-78.31274194,5,3,ayp_014,end,34.42013,-119.54092
5,27713179,1915.419769,-8.623901651,6,4,ayp_016,start,34.42022,-119.54087
6,27713179,1934.954689,-13.00747446,7,5,ayp_016,end,34.4216,-119.54028
7,27713179,2961.757437,14.40076912,8,6,ayp_020,start,34.42175,-119.54016
8,27713179,2964.731649,19.33697073,9,7,ayp_020,end,34.42808,-119.54126
9,27713179,3160.404757,13.94593473,10,8,ayp_022,start,34.42804,-119.5413
10,27713179,3167.335101,16.63543843,11,9,ayp_022,end,34.42893,-119.5432
11,27713179,3264.49803,7.362641518,12,10,ayp_024,start,34.42894,-119.54328
12,27713179,3294.019411,20.97877194,13,11,ayp_024,end,34.42943,-119.54417
13,27713179,3749.276157,-5.652523111,14,12,ayp_028,start,34.42947,-119.54448
14,27713179,3756.630524,6.55212408,15,13,ayp_028,end,34.4305,-119.54875
15,27713179,3961.615299,20.79726879,16,14,ayp_030,start,34.43039,-119.54883
16,27713179,4151.966071,25.81650074,17,15,ayp_030,end,34.43161,-119.55046
17,27713179,4232.078784,-1.522947368,18,16,ayp_035,start,34.43334,-119.55012
18,27713179,4232.078784,-1.522947368,19,17,ayp_035,end,34.43402,-119.54975
19,27713179,4304.593048,-5.234486181,20,18,ayp_036,start,34.43402,-119.54975
20,27713179,4304.593048,-5.234486181,21,19,ayp_036,end,34.43464,-119.54952
