UID,unit,location,lat,long
0,nfm_001,start,34.48525,-119.30818
1,nfm_001,end,34.49723,-119.30076
2,nfm_003,start,34.49757,-119.30097
3,nfm_003,end,34.49899,-119.3009
4,nfm_005,start,34.49901,-119.30103
5,nfm_005,end,34.5001,-119.30056
6,nfm_006,start,34.50214,-119.24806
7,nfm_006,end,34.50854,-119.28458
8,nfm_008,start,34.50861,-119.2845
9,nfm_008,end,34.5085,-119.28398
10,nfm_010,start,34.50846,-119.28408
11,nfm_010,end,34.50636,-119.28406
12,nfm_012,start,34.50626,-119.28402
13,nfm_012,end,34.50684,-119.27699
14,nfm_014,start,34.50684,-119.27688
15,nfm_014,end,34.50704,-119.2767
16,nfm_021,start,34.50745,-119.2766
17,nfm_021,end,34.51858,-119.26825
18,nfm_022,start,34.51858,-119.26825
19,nfm_022,end,34.51929,-119.26498
20,nfm_023,start,34.51929,-119.26498
21,nfm_023,end,34.5228,-119.26625
22,nfm_024,start,34.5228,-119.26625
23,nfm_024,end,34.52385,-119.26573
24,nfm_025,start,34.52385,-119.26573
25,nfm_025,end,34.52851,-119.26184
26,nfm_027,start,34.52852,-119.26182
27,nfm_027,end,34.52905,-119.25996
28,nfm_028,start,34.52905,-119.25996
29,nfm_028,end,34.52935,-119.25993
30,nfm_029,start,34.52935,-119.25993
31,nfm_029,end,34.53059,-119.25928
32,nfm_031,start,34.53327,-119.25776
33,nfm_031,end,34.53339,-119.25756
34,nfm_032,start,34.53339,-119.25756
35,nfm_032,end,34.53385,-119.25646
36,nfm_033,start,34.53385,-119.25646
37,nfm_033,end,34.53459,-119.25257
38,nfm_034,start,34.53459,-119.25257
39,nfm_034,end,34.53424,-119.24982
40,nfm_035,start,34.53424,-119.24982
41,nfm_035,end,34.53434,-119.24818
42,nfm_037,start,34.53432,-119.24825
43,nfm_037,end,34.53555,-119.24675
44,nfm_039,start,34.53551,-119.24673
45,nfm_039,end,34.5362,-119.24588
46,nfm_041,start,34.53625,-119.24583
47,nfm_041,end,34.53671,-119.24493
